Geographic Area,StateCode,CountyCode,Estate Code,2010 Population
Estate St. Georges Hill,78,10,67100,24
Estate St. John,78,10,67630,685
Estate St. Peters,78,10,68000,297
Estate Sallys Fancy,78,10,68530,93
Estate Salt River,78,10,68560,102
Estate Seven Hills,78,10,69200,48
Estate Shoys,78,10,69600,79
Estate Sight,78,10,70260,26
Estate Sion Farm,78,10,71300,1374
Estate Sion Hill,78,10,71600,569
Estate Solitude East,78,10,73650,93
Estate Solitude West,78,10,73660,0
Estate Southgate,78,10,74000,108
Estate South Grapetree Bay,78,10,74400,22
Estate South Slob,78,10,75100,29
Estate Sprat Hall,78,10,75950,63
Estate Springfield,78,10,76100,0
Estate Spring Garden,78,10,76200,10
Estate Spring Gut,78,10,76300,17
Estate Stony Ground,78,10,76500,271
Estate Strawberry Hill,78,10,77100,1528
Estate Sweet Bottom,78,10,77700,0
Estate Teague Bay,78,10,77760,113
Estate The Springs,78,10,78000,0
Estate Thomas,78,10,78100,20
Estate Tipperary,78,10,78200,194
Estate Turner Hole,78,10,78250,17
Estate Two Brothers,78,10,79500,1990
Estate Two Friends,78,10,79700,3
Estate Union and Mount Washington,78,10,79900,407
Estate Upper Bethlehem,78,10,80230,166
Estate Upper Love,78,10,80400,1315
Estate Waldberggaard,78,10,81900,9
Estate Wheel of Fortune,78,10,84100,461
Estate Whim,78,10,84800,3315
Estate White Lady,78,10,84900,118
Estate Whites Bay 1,78,10,85100,235
Estate Whites Bay 2,78,10,85200,0
Estate William,78,10,85550,5
Estate Williams Delight,78,10,85630,2202
Estate Wills Bay,78,10,85660,0
Estate Windsor,78,10,85820,29
Estate Wood Cottage,78,10,85870,0
Estate Work and Rest,78,10,85900,1327
Estate Yellow Cliff,78,10,85950,3
Estate Adrian,78,20,60,234
Estate Annaberg,78,20,3520,47
Estate Bellevue,78,20,6275,184
Estate Bethany,78,20,6500,166
Estate Beverhoutberg and Esperance,78,20,7750,28
Estate Bordeaux,78,20,8300,2
Estate Browns Bay,78,20,8700,0
Estate Calabash Boom,78,20,10750,137
Estate Caneel Bay,78,20,11870,91
Estate Carolina,78,20,13650,394
Estate Chocolate Hole and Great Cruz Bay,78,20,19200,172
Estate Concordia A,78,20,24420,22
Estate Concordia B,78,20,24440,0
Estate Contant,78,20,25350,283
Estate Denis Bay,78,20,29400,5
Estate Emmaus,78,20,35100,79
Estate Enighed,78,20,35250,841
Estate Fish Bay,78,20,35750,147
Estate Fortberg,78,20,35775,11
Estate Glucksberg and Grunwald,78,20,43100,359
Estate Great Cinnamon Bay,78,20,45300,3
Estate Hammer Farm,78,20,46200,13
Estate Hansen Bay,78,20,46360,51
Estate Haulover,78,20,47230,0
Estate Hawksnest,78,20,47250,2
Estate Hermitage,78,20,47700,0
Estate Hope,78,20,48110,6
Estate Johns Folly,78,20,49875,45
Estate Lameshur,78,20,53805,2
Estate Leinster Bay,78,20,54550,0
Estate Little Plantation,78,20,54960,70
Estate Lovango Cay,78,20,55600,4
Estate Maho Bay,78,20,56680,1
Estate Mandal,78,20,56760,39
Estate Molendal and Little Reef Bay,78,20,57330,0
Estate Mount Pleasant and Retreat,78,20,57770,0
Estate New Renobath,78,20,58850,4
Estate Number 1 of Susannaberg,78,20,62540,0
Estate Number 1 of Trunk Bay,78,20,62560,2
Estate Parcel of Concordia,78,20,63400,0
Estate Parcel of Gift and Regenback,78,20,63500,66
Estate Pastory,78,20,63600,431
Estate Peter Bay,78,20,64030,11
Estate Reef Bay,78,20,65610,0
Estate Rendezvous and Ditlef,78,20,65650,70
Estate Rustenberg and Adventure,78,20,66765,0
Estate St. Quaco and Zimmerman,78,20,68200,88
Estate San Soucci,78,20,68650,16
Estate Sieben,78,20,70230,0
Estate Susannaberg,78,20,77650,37
Estate Zootenvaal,78,20,86100,7
Estate Adelphi,78,30,30,3
Estate Agnes Fancy,78,30,80,270
Estate Annas Fancy,78,30,3670,373
Estate Annas Retreat,78,30,5520,7479
Estate Bakkero,78,30,5560,462
Estate Bolongo,78,30,7950,688
Estate Bonne Esperance,78,30,8060,269
Estate Bonne Resolution,78,30,8100,372
Estate Bordeaux,78,30,8400,275
Estate Bovoni,78,30,8500,2604
Estate Canaan and Sherpenjewel,78,30,11650,65
Estate Caret Bay,78,30,12400,442
Estate Charlotte Amalie,78,30,17300,218
Estate Contant,78,30,26300,3584
Estate Crown and Hawk,78,30,27850,67
Estate Demarara,78,30,29100,3040
Estate Donoe,78,30,30550,173
Estate Dorothea,78,30,30650,479
Estate Eastern Water Island,78,30,34700,18
Estate Elizabeth,78,30,34800,167
Estate Fortuna,78,30,35890,981
Estate Fortuna Hill,78,30,35900,69
Estate Frenchman Bay,78,30,40300,1124
Estate Frydendal,78,30,42450,974
Estate Frydenhoj,78,30,42500,1157
Estate Great St. James Island,78,30,45550,9
Estate Hassel Island,78,30,47100,17
Estate Herleins Kob,78,30,47300,0
Estate Hoffman,78,30,47950,0
Estate Honduras,78,30,48060,850
Estate Hope,78,30,48120,124
Estate Hospital Ground,78,30,48160,193
Estate Hull,78,30,48180,500
Estate Inner Brass Island,78,30,48500,0
Estate John Brewers Bay,78,30,49750,10
Estate Kings Quarter,78,30,50575,4318
Estate Langmath Mariendal,78,30,53810,996
Estate Lerkenlund,78,30,54650,793
Estate Lilliendal and Marienhoj,78,30,54825,305
Estate Lindbergh Bay,78,30,54875,1997
Estate Little St. James Island,78,30,54990,0
Estate Little St. Thomas,78,30,54995,27
Estate Lovenlund,78,30,55800,1147
Estate Lower John Dunko,78,30,55850,445
Estate Mafolie,78,30,56620,148
Estate Magens Bay,78,30,56630,0
Estate Mandal,78,30,56840,583
Estate Misgunst,78,30,57320,93
Estate Nadir,78,30,58150,1085
Estate Nazareth,78,30,58400,1269
Estate Neltjeberg,78,30,58750,47
Estate New Herrnhut,78,30,58825,52
Estate Nisky,78,30,59200,104
Estate Outer Brass Island,78,30,62800,0
Estate Pearl,78,30,63950,252
Estate Perseverance,78,30,64010,12
Estate Peterborg,78,30,64050,234
Estate Queens Quarter,78,30,65070,940
Estate Raphune,78,30,65125,125
Estate Ross,78,30,66200,98
Estate St. Joseph and Rosendal,78,30,67660,864
Estate St. Peter,78,30,67800,283
Estate Santa Maria,78,30,68800,191
Estate Smith Bay,78,30,72500,2531
Estate Solberg,78,30,73550,1193
Estate Sorgenfri,78,30,73800,152
Estate Staabi,78,30,76400,0
Estate Tabor and Harmony,78,30,77730,206
Estate Thomas,78,30,78150,2631
Estate Upper John Dunko,78,30,80260,272
Estate Western Water Island,78,30,83500,147
Estate Wintberg,78,30,85850,1019
Estate Zufriedenheit,78,30,86200,19
