Geographic Area,StateCode,CountyCode,Estate Code,Category,Population
Estate Rustenberg and Adventure,78,20,66765,"Hispanic, Puerto Rican",0
Estate St. Quaco and Zimmerman,78,20,68200,"Hispanic, Puerto Rican",1
Estate San Soucci,78,20,68650,"Hispanic, Puerto Rican",0
Estate Sieben,78,20,70230,"Hispanic, Puerto Rican",0
Estate Susannaberg,78,20,77650,"Hispanic, Puerto Rican",0
Estate Zootenvaal,78,20,86100,"Hispanic, Puerto Rican",0
Estate Adelphi,78,30,30,"Hispanic, Puerto Rican",0
Estate Agnes Fancy,78,30,80,"Hispanic, Puerto Rican",2
Estate Annas Fancy,78,30,3670,"Hispanic, Puerto Rican",16
Estate Annas Retreat,78,30,5520,"Hispanic, Puerto Rican",195
Estate Bakkero,78,30,5560,"Hispanic, Puerto Rican",20
Estate Bolongo,78,30,7950,"Hispanic, Puerto Rican",28
Estate Bonne Esperance,78,30,8060,"Hispanic, Puerto Rican",10
Estate Bonne Resolution,78,30,8100,"Hispanic, Puerto Rican",6
Estate Bordeaux,78,30,8400,"Hispanic, Puerto Rican",12
Estate Bovoni,78,30,8500,"Hispanic, Puerto Rican",115
Estate Canaan and Sherpenjewel,78,30,11650,"Hispanic, Puerto Rican",1
Estate Caret Bay,78,30,12400,"Hispanic, Puerto Rican",11
Estate Charlotte Amalie,78,30,17300,"Hispanic, Puerto Rican",9
Estate Contant,78,30,26300,"Hispanic, Puerto Rican",154
Estate Crown and Hawk,78,30,27850,"Hispanic, Puerto Rican",5
Estate Demarara,78,30,29100,"Hispanic, Puerto Rican",82
Estate Donoe,78,30,30550,"Hispanic, Puerto Rican",3
Estate Dorothea,78,30,30650,"Hispanic, Puerto Rican",33
Estate Eastern Water Island,78,30,34700,"Hispanic, Puerto Rican",0
Estate Elizabeth,78,30,34800,"Hispanic, Puerto Rican",9
Estate Fortuna,78,30,35890,"Hispanic, Puerto Rican",34
Estate Fortuna Hill,78,30,35900,"Hispanic, Puerto Rican",7
Estate Frenchman Bay,78,30,40300,"Hispanic, Puerto Rican",29
Estate Frydendal,78,30,42450,"Hispanic, Puerto Rican",6
Estate Frydenhoj,78,30,42500,"Hispanic, Puerto Rican",29
Estate Great St. James Island,78,30,45550,"Hispanic, Puerto Rican",0
Estate Hassel Island,78,30,47100,"Hispanic, Puerto Rican",0
Estate Herleins Kob,78,30,47300,"Hispanic, Puerto Rican",0
Estate Hoffman,78,30,47950,"Hispanic, Puerto Rican",0
Estate Honduras,78,30,48060,"Hispanic, Puerto Rican",35
Estate Hope,78,30,48120,"Hispanic, Puerto Rican",20
Estate Hospital Ground,78,30,48160,"Hispanic, Puerto Rican",13
Estate Hull,78,30,48180,"Hispanic, Puerto Rican",19
Estate Inner Brass Island,78,30,48500,"Hispanic, Puerto Rican",0
Estate John Brewers Bay,78,30,49750,"Hispanic, Puerto Rican",0
Estate Kings Quarter,78,30,50575,"Hispanic, Puerto Rican",148
Estate Langmath Mariendal,78,30,53810,"Hispanic, Puerto Rican",20
Estate Lerkenlund,78,30,54650,"Hispanic, Puerto Rican",20
Estate Lilliendal and Marienhoj,78,30,54825,"Hispanic, Puerto Rican",10
Estate Lindbergh Bay,78,30,54875,"Hispanic, Puerto Rican",83
Estate Little St. James Island,78,30,54990,"Hispanic, Puerto Rican",0
Estate Little St. Thomas,78,30,54995,"Hispanic, Puerto Rican",0
Estate Lovenlund,78,30,55800,"Hispanic, Puerto Rican",46
Estate Lower John Dunko,78,30,55850,"Hispanic, Puerto Rican",15
Estate Mafolie,78,30,56620,"Hispanic, Puerto Rican",7
Estate Magens Bay,78,30,56630,"Hispanic, Puerto Rican",0
Estate Mandal,78,30,56840,"Hispanic, Puerto Rican",18
Estate Misgunst,78,30,57320,"Hispanic, Puerto Rican",5
Estate Nadir,78,30,58150,"Hispanic, Puerto Rican",35
Estate Nazareth,78,30,58400,"Hispanic, Puerto Rican",23
Estate Neltjeberg,78,30,58750,"Hispanic, Puerto Rican",3
Estate New Herrnhut,78,30,58825,"Hispanic, Puerto Rican",0
Estate Nisky,78,30,59200,"Hispanic, Puerto Rican",6
Estate Outer Brass Island,78,30,62800,"Hispanic, Puerto Rican",0
Estate Pearl,78,30,63950,"Hispanic, Puerto Rican",12
Estate Perseverance,78,30,64010,"Hispanic, Puerto Rican",0
Estate Peterborg,78,30,64050,"Hispanic, Puerto Rican",7
Estate Queens Quarter,78,30,65070,"Hispanic, Puerto Rican",26
Estate Raphune,78,30,65125,"Hispanic, Puerto Rican",1
Estate Ross,78,30,66200,"Hispanic, Puerto Rican",0
Estate St. Joseph and Rosendal,78,30,67660,"Hispanic, Puerto Rican",40
Estate St. Peter,78,30,67800,"Hispanic, Puerto Rican",8
Estate Santa Maria,78,30,68800,"Hispanic, Puerto Rican",6
Estate Smith Bay,78,30,72500,"Hispanic, Puerto Rican",37
Estate Solberg,78,30,73550,"Hispanic, Puerto Rican",31
Estate Sorgenfri,78,30,73800,"Hispanic, Puerto Rican",7
Estate Staabi,78,30,76400,"Hispanic, Puerto Rican",0
Estate Tabor and Harmony,78,30,77730,"Hispanic, Puerto Rican",15
Estate Thomas,78,30,78150,"Hispanic, Puerto Rican",62
Estate Upper John Dunko,78,30,80260,"Hispanic, Puerto Rican",15
Estate Western Water Island,78,30,83500,"Hispanic, Puerto Rican",3
Estate Wintberg,78,30,85850,"Hispanic, Puerto Rican",19
Estate Zufriedenheit,78,30,86200,"Hispanic, Puerto Rican",0
Charlotte Amalie town,78,30,-1,"Hispanic, Puerto Rican",321
Charlotte Amalie East CDP,78,30,-1,"Hispanic, Puerto Rican",51
Charlotte Amalie West CDP,78,30,-1,"Hispanic, Puerto Rican",236
Christiansted town,78,10,-1,"Hispanic, Puerto Rican",440
Coral Bay CDP,78,20,-1,"Hispanic, Puerto Rican",12
Cruz Bay CDP,78,20,-1,"Hispanic, Puerto Rican",49
Frederiksted town,78,10,-1,"Hispanic, Puerto Rican",139
Frederiksted Southeast CDP,78,10,-1,"Hispanic, Puerto Rican",412
Red Hook CDP,78,30,-1,"Hispanic, Puerto Rican",5
Tutu CDP,78,30,-1,"Hispanic, Puerto Rican",203
United States Virgin Islands,78,-1,-1,"Hispanic, Dominican",5827
St. Croix Island,78,10,-1,"Hispanic, Dominican",1948
Anna's Hope Village subdistrict,78,10,-1,"Hispanic, Dominican",145
Christiansted subdistrict,78,10,-1,"Hispanic, Dominican",392
East End subdistrict,78,10,-1,"Hispanic, Dominican",26
Frederiksted subdistrict,78,10,-1,"Hispanic, Dominican",118
Northcentral subdistrict,78,10,-1,"Hispanic, Dominican",140
Northwest subdistrict,78,10,-1,"Hispanic, Dominican",103
Sion Farm subdistrict,78,10,-1,"Hispanic, Dominican",517
Southcentral subdistrict,78,10,-1,"Hispanic, Dominican",311
Southwest subdistrict,78,10,-1,"Hispanic, Dominican",196
St. John Island,78,20,-1,"Hispanic, Dominican",306
Central subdistrict,78,20,-1,"Hispanic, Dominican",23
Coral Bay subdistrict,78,20,-1,"Hispanic, Dominican",17
Cruz Bay subdistrict,78,20,-1,"Hispanic, Dominican",266
East End subdistrict,78,20,-1,"Hispanic, Dominican",0
St. Thomas Island,78,30,-1,"Hispanic, Dominican",3573
Charlotte Amalie subdistrict,78,30,-1,"Hispanic, Dominican",2357
East End subdistrict,78,30,-1,"Hispanic, Dominican",421
Northside subdistrict,78,30,-1,"Hispanic, Dominican",231
Southside subdistrict,78,30,-1,"Hispanic, Dominican",291
Tutu subdistrict,78,30,-1,"Hispanic, Dominican",237
Water Island subdistrict,78,30,-1,"Hispanic, Dominican",0
West End subdistrict,78,30,-1,"Hispanic, Dominican",36
Estate Adventure,78,10,70,"Hispanic, Dominican",1
Estate Allandale,78,10,600,"Hispanic, Dominican",0
Estate All for the Better,78,10,800,"Hispanic, Dominican",1
Estate Altona,78,10,1400,"Hispanic, Dominican",1
Estate Anguilla,78,10,2500,"Hispanic, Dominican",0
Estate Annaberg and Shannon Grove,78,10,3550,"Hispanic, Dominican",0
Estate Annaly,78,10,3630,"Hispanic, Dominican",0
Estate Annas Hope,78,10,3800,"Hispanic, Dominican",12
Estate A Piece of Land,78,10,5540,"Hispanic, Dominican",0
Estate Barren Spot 1,78,10,5575,"Hispanic, Dominican",0
Estate Barren Spot 2,78,10,5585,"Hispanic, Dominican",60
Estate Becks Grove,78,10,6175,"Hispanic, Dominican",0
Estate Beeston Hill,78,10,6225,"Hispanic, Dominican",2
Estate Bellevue,78,10,6260,"Hispanic, Dominican",0
Estate Belvedere,78,10,6310,"Hispanic, Dominican",0
Estate Bethlehem Middle Works,78,10,7100,"Hispanic, Dominican",6
Estate Bethlehem Old Works,78,10,7400,"Hispanic, Dominican",95
Estate Betsys Jewel,78,10,7500,"Hispanic, Dominican",0
Estate Bettys Hope,78,10,7650,"Hispanic, Dominican",0
Estate Blessing,78,10,7850,"Hispanic, Dominican",4
Estate Bodkin,78,10,7910,"Hispanic, Dominican",0
Estate Body Slob North,78,10,7920,"Hispanic, Dominican",0
Estate Body Slob South,78,10,7930,"Hispanic, Dominican",0
Estate Boetzberg,78,10,7940,"Hispanic, Dominican",11
Estate Bonne Esperance 1,78,10,8075,"Hispanic, Dominican",0
Estate Bonne Esperance 2,78,10,8080,"Hispanic, Dominican",0
Estate Brooks Hill,78,10,8600,"Hispanic, Dominican",0
Estate Bugby Hole,78,10,9300,"Hispanic, Dominican",0
Estate Cain Carlton,78,10,10600,"Hispanic, Dominican",0
Estate Caledonia,78,10,10800,"Hispanic, Dominican",0
Estate Canaan,78,10,11525,"Hispanic, Dominican",0
Estate Cane,78,10,11750,"Hispanic, Dominican",3
Estate Cane Bay,78,10,11840,"Hispanic, Dominican",0
Estate Cane Garden,78,10,11900,"Hispanic, Dominican",0
Estate Cane Valley,78,10,12050,"Hispanic, Dominican",0
Estate Carina,78,10,12500,"Hispanic, Dominican",0
Estate Carlton 1 North,78,10,12750,"Hispanic, Dominican",0
Estate Carlton 1 South,78,10,12800,"Hispanic, Dominican",0
Estate Carlton 2,78,10,12900,"Hispanic, Dominican",12
Estate Cassava Garden,78,10,13700,"Hispanic, Dominican",0
Estate Castle Coakley,78,10,14600,"Hispanic, Dominican",48
Estate Castle Nugent,78,10,14700,"Hispanic, Dominican",0
Estate Catherines Hope,78,10,14840,"Hispanic, Dominican",0
Estate Catherines Rest,78,10,14870,"Hispanic, Dominican",15
Estate Clairmont,78,10,22325,"Hispanic, Dominican",0
Estate Clifton Hill,78,10,22400,"Hispanic, Dominican",36
Estate Coakley Bay,78,10,23200,"Hispanic, Dominican",6
Estate Colquohoun,78,10,23500,"Hispanic, Dominican",12
Estate Concordia East,78,10,24460,"Hispanic, Dominican",0
Estate Concordia West,78,10,24500,"Hispanic, Dominican",24
Estate Constitution Hill,78,10,24600,"Hispanic, Dominican",19
Estate Contentment,78,10,26450,"Hispanic, Dominican",0
Estate Corn Hill,78,10,27250,"Hispanic, Dominican",0
Estate Cottage,78,10,27300,"Hispanic, Dominican",1
Estate Cotton Garden,78,10,27400,"Hispanic, Dominican",0
Estate Cotton Grove,78,10,27525,"Hispanic, Dominican",0
Estate Cotton Valley,78,10,27600,"Hispanic, Dominican",0
Estate Diamond East,78,10,29850,"Hispanic, Dominican",31
Estate Diamond Keturah,78,10,30100,"Hispanic, Dominican",0
Estate Diamond West,78,10,30300,"Hispanic, Dominican",3
Estate East Street,78,10,34750,"Hispanic, Dominican",207
Estate Elizas Retreat,78,10,34850,"Hispanic, Dominican",0
Estate Enfield Green,78,10,35150,"Hispanic, Dominican",20
Estate Envy,78,10,35450,"Hispanic, Dominican",0
Estate Fangselet,78,10,35550,"Hispanic, Dominican",11
Estate Fareham,78,10,35650,"Hispanic, Dominican",0
Estate Fountain,78,10,36050,"Hispanic, Dominican",3
Estate Frederikshaab,78,10,37700,"Hispanic, Dominican",4
Estate Friedensthal,78,10,41600,"Hispanic, Dominican",34
Estate Glynn,78,10,43500,"Hispanic, Dominican",12
Estate Golden Grove,78,10,44250,"Hispanic, Dominican",16
Estate Golden Rock,78,10,44300,"Hispanic, Dominican",171
Estate Granard,78,10,45050,"Hispanic, Dominican",0
Estate Grange,78,10,45150,"Hispanic, Dominican",0
Estate Grange Stock,78,10,45200,"Hispanic, Dominican",0
Estate Great Pond,78,10,45525,"Hispanic, Dominican",0
Estate Green Cay,78,10,45575,"Hispanic, Dominican",0
Estate Grove Place,78,10,46100,"Hispanic, Dominican",9
Estate Gumbs Land,78,10,46150,"Hispanic, Dominican",0
Estate Hams Bay,78,10,46320,"Hispanic, Dominican",0
Estate Hams Bluff,78,10,46330,"Hispanic, Dominican",0
Estate Hannahs Rest,78,10,46350,"Hispanic, Dominican",27
Estate Hard Labor,78,10,46380,"Hispanic, Dominican",0
Estate Hartman,78,10,47000,"Hispanic, Dominican",0
Estate Hermitage,78,10,47600,"Hispanic, Dominican",0
Estate Hermon Hill,78,10,47750,"Hispanic, Dominican",15
Estate Hogensborg,78,10,48030,"Hispanic, Dominican",1
Estate Hope and Carton Hill,78,10,48130,"Hispanic, Dominican",0
Estate Hope East,78,10,48140,"Hispanic, Dominican",4
Estate Hope West,78,10,48150,"Hispanic, Dominican",1
Estate Jacks Bay,78,10,48600,"Hispanic, Dominican",0
Estate Jerusalem and Figtree Hill,78,10,49700,"Hispanic, Dominican",1
Estate Jolly Hill,78,10,49930,"Hispanic, Dominican",0
Estate Judiths Fancy,78,10,49960,"Hispanic, Dominican",3
Estate Kingshill,78,10,50550,"Hispanic, Dominican",0
Estate Kramers Park,78,10,51500,"Hispanic, Dominican",0
Estate La Grande Princess,78,10,51700,"Hispanic, Dominican",87
Estate La Grange,78,10,53400,"Hispanic, Dominican",12
Estate La Press Valley,78,10,53825,"Hispanic, Dominican",0
Estate La Reine,78,10,54000,"Hispanic, Dominican",4
Estate La Vallee,78,10,54200,"Hispanic, Dominican",0
Estate Lebanon Hill,78,10,54300,"Hispanic, Dominican",0
Estate Little Fountain,78,10,54920,"Hispanic, Dominican",0
Estate Little La Grange,78,10,54930,"Hispanic, Dominican",2
Estate Little Princess North,78,10,54970,"Hispanic, Dominican",0
Estate Little Princess South,78,10,54975,"Hispanic, Dominican",8
Estate Little Profit,78,10,54980,"Hispanic, Dominican",0
Estate Longford,78,10,55100,"Hispanic, Dominican",0
Estate Long Point,78,10,55200,"Hispanic, Dominican",0
Estate Lower Love,78,10,55930,"Hispanic, Dominican",0
Estate Lowry Hill,78,10,55960,"Hispanic, Dominican",0
Estate Madam Carty,78,10,56200,"Hispanic, Dominican",0
Estate Mannings Bay,78,10,56860,"Hispanic, Dominican",0
Estate Marienhoj,78,10,56950,"Hispanic, Dominican",4
Estate Marys Fancy,78,10,57100,"Hispanic, Dominican",10
Estate Mon Bijou North,78,10,57425,"Hispanic, Dominican",0
Estate Mon Bijou South,78,10,57430,"Hispanic, Dominican",20
Estate Montpellier East,78,10,57530,"Hispanic, Dominican",4
Estate Montpellier West,78,10,57560,"Hispanic, Dominican",2
Estate Morning Star North,78,10,57650,"Hispanic, Dominican",0
Estate Morning Star South,78,10,57660,"Hispanic, Dominican",12
Estate Mountain,78,10,57670,"Hispanic, Dominican",1
Estate Mount Eagle,78,10,57680,"Hispanic, Dominican",0
Estate Mount Fancy,78,10,57690,"Hispanic, Dominican",0
Estate Mount Pleasant East 1,78,10,57790,"Hispanic, Dominican",0
Estate Mount Pleasant East 2,78,10,57800,"Hispanic, Dominican",0
Estate Mount Pleasant West,78,10,57820,"Hispanic, Dominican",22
Estate Mount Retreat,78,10,57840,"Hispanic, Dominican",0
Estate Mount Stewart,78,10,57860,"Hispanic, Dominican",0
Estate Mount Victory,78,10,57880,"Hispanic, Dominican",0
Estate Mount Washington and Washington Hill,78,10,57900,"Hispanic, Dominican",0
Estate Mount Welcome,78,10,57950,"Hispanic, Dominican",10
Estate Nicholas,78,10,59000,"Hispanic, Dominican",0
Estate North Grapetree Bay,78,10,59550,"Hispanic, Dominican",0
Estate North Hall,78,10,59600,"Hispanic, Dominican",0
Estate Northside,78,10,61325,"Hispanic, Dominican",0
Estate North Slob,78,10,61450,"Hispanic, Dominican",0
Estate North Star,78,10,61700,"Hispanic, Dominican",0
Estate Orange Grove East,78,10,62730,"Hispanic, Dominican",42
Estate Orange Grove West,78,10,62760,"Hispanic, Dominican",0
Estate Oxford,78,10,63050,"Hispanic, Dominican",0
Estate Paradise,78,10,63175,"Hispanic, Dominican",4
Estate Parasol,78,10,63300,"Hispanic, Dominican",0
Estate Pearl,78,10,63900,"Hispanic, Dominican",0
Estate Peters Farm,78,10,64070,"Hispanic, Dominican",2
Estate Peters Rest,78,10,64150,"Hispanic, Dominican",67
Estate Petronella,78,10,64300,"Hispanic, Dominican",0
Estate Pleasant Valley East,78,10,64530,"Hispanic, Dominican",3
Estate Pleasant Valley West,78,10,64560,"Hispanic, Dominican",0
Estate Plessen 1,78,10,64630,"Hispanic, Dominican",0
Estate Plessen 2,78,10,64660,"Hispanic, Dominican",6
Estate Profit,78,10,64820,"Hispanic, Dominican",22
Estate Prospect Hill,78,10,64870,"Hispanic, Dominican",0
Estate Prosperity East,78,10,64930,"Hispanic, Dominican",0
Estate Prosperity West,78,10,64960,"Hispanic, Dominican",2
Estate Punch,78,10,65020,"Hispanic, Dominican",0
Estate Rattan,78,10,65150,"Hispanic, Dominican",6
Estate Recovery Hill,78,10,65525,"Hispanic, Dominican",0
Estate Retreat,78,10,65750,"Hispanic, Dominican",15
Estate Richmond,78,10,65830,"Hispanic, Dominican",121
Estate River,78,10,65860,"Hispanic, Dominican",0
Estate Roberts Hill,78,10,66030,"Hispanic, Dominican",0
Estate Rose Hill,78,10,66060,"Hispanic, Dominican",0
Estate Ruby,78,10,66750,"Hispanic, Dominican",6
Estate Rust Up Twist,78,10,66780,"Hispanic, Dominican",0
Estate St. George,78,10,67000,"Hispanic, Dominican",31
Estate St. Georges Hill,78,10,67100,"Hispanic, Dominican",0
Estate St. John,78,10,67630,"Hispanic, Dominican",8
Estate St. Peters,78,10,68000,"Hispanic, Dominican",2
Estate Sallys Fancy,78,10,68530,"Hispanic, Dominican",0
Estate Salt River,78,10,68560,"Hispanic, Dominican",0
Estate Seven Hills,78,10,69200,"Hispanic, Dominican",0
Estate Shoys,78,10,69600,"Hispanic, Dominican",1
Estate Sight,78,10,70260,"Hispanic, Dominican",1
Estate Sion Farm,78,10,71300,"Hispanic, Dominican",70
Estate Sion Hill,78,10,71600,"Hispanic, Dominican",20
Estate Solitude East,78,10,73650,"Hispanic, Dominican",0
Estate Solitude West,78,10,73660,"Hispanic, Dominican",0
Estate Southgate,78,10,74000,"Hispanic, Dominican",0
Estate South Grapetree Bay,78,10,74400,"Hispanic, Dominican",0
Estate South Slob,78,10,75100,"Hispanic, Dominican",0
Estate Sprat Hall,78,10,75950,"Hispanic, Dominican",0
Estate Springfield,78,10,76100,"Hispanic, Dominican",0
Estate Spring Garden,78,10,76200,"Hispanic, Dominican",0
Estate Spring Gut,78,10,76300,"Hispanic, Dominican",3
Estate Stony Ground,78,10,76500,"Hispanic, Dominican",15
Estate Strawberry Hill,78,10,77100,"Hispanic, Dominican",27
Estate Sweet Bottom,78,10,77700,"Hispanic, Dominican",0
Estate Teague Bay,78,10,77760,"Hispanic, Dominican",0
Estate The Springs,78,10,78000,"Hispanic, Dominican",0
Estate Thomas,78,10,78100,"Hispanic, Dominican",0
Estate Tipperary,78,10,78200,"Hispanic, Dominican",1
Estate Turner Hole,78,10,78250,"Hispanic, Dominican",0
Estate Two Brothers,78,10,79500,"Hispanic, Dominican",73
Estate Two Friends,78,10,79700,"Hispanic, Dominican",0
Estate Union and Mount Washington,78,10,79900,"Hispanic, Dominican",7
Estate Upper Bethlehem,78,10,80230,"Hispanic, Dominican",0
Estate Upper Love,78,10,80400,"Hispanic, Dominican",15
Estate Waldberggaard,78,10,81900,"Hispanic, Dominican",0
Estate Wheel of Fortune,78,10,84100,"Hispanic, Dominican",21
Estate Whim,78,10,84800,"Hispanic, Dominican",99
Estate White Lady,78,10,84900,"Hispanic, Dominican",4
Estate Whites Bay 1,78,10,85100,"Hispanic, Dominican",4
Estate Whites Bay 2,78,10,85200,"Hispanic, Dominican",0
Estate William,78,10,85550,"Hispanic, Dominican",0
Estate Williams Delight,78,10,85630,"Hispanic, Dominican",34
Estate Wills Bay,78,10,85660,"Hispanic, Dominican",0
Estate Windsor,78,10,85820,"Hispanic, Dominican",0
Estate Wood Cottage,78,10,85870,"Hispanic, Dominican",0
Estate Work and Rest,78,10,85900,"Hispanic, Dominican",76
Estate Yellow Cliff,78,10,85950,"Hispanic, Dominican",0
Estate Adrian,78,20,60,"Hispanic, Dominican",22
Estate Annaberg,78,20,3520,"Hispanic, Dominican",0
Estate Bellevue,78,20,6275,"Hispanic, Dominican",7
Estate Bethany,78,20,6500,"Hispanic, Dominican",0
Estate Beverhoutberg and Esperance,78,20,7750,"Hispanic, Dominican",0
Estate Bordeaux,78,20,8300,"Hispanic, Dominican",0
Estate Browns Bay,78,20,8700,"Hispanic, Dominican",0
Estate Calabash Boom,78,20,10750,"Hispanic, Dominican",16
Estate Caneel Bay,78,20,11870,"Hispanic, Dominican",0
Estate Carolina,78,20,13650,"Hispanic, Dominican",0
Estate Chocolate Hole and Great Cruz Bay,78,20,19200,"Hispanic, Dominican",8
Estate Concordia A,78,20,24420,"Hispanic, Dominican",0
Estate Concordia B,78,20,24440,"Hispanic, Dominican",0
Estate Contant,78,20,25350,"Hispanic, Dominican",38
Estate Denis Bay,78,20,29400,"Hispanic, Dominican",0
Estate Emmaus,78,20,35100,"Hispanic, Dominican",0
Estate Enighed,78,20,35250,"Hispanic, Dominican",159
Estate Fish Bay,78,20,35750,"Hispanic, Dominican",0
Estate Fortberg,78,20,35775,"Hispanic, Dominican",0
Estate Glucksberg and Grunwald,78,20,43100,"Hispanic, Dominican",11
Estate Great Cinnamon Bay,78,20,45300,"Hispanic, Dominican",0
Estate Hammer Farm,78,20,46200,"Hispanic, Dominican",0
Estate Hansen Bay,78,20,46360,"Hispanic, Dominican",0
Estate Haulover,78,20,47230,"Hispanic, Dominican",0
Estate Hawksnest,78,20,47250,"Hispanic, Dominican",0
Estate Hermitage,78,20,47700,"Hispanic, Dominican",0
Estate Hope,78,20,48110,"Hispanic, Dominican",0
Estate Johns Folly,78,20,49875,"Hispanic, Dominican",0
Estate Lameshur,78,20,53805,"Hispanic, Dominican",0
Estate Leinster Bay,78,20,54550,"Hispanic, Dominican",0
Estate Little Plantation,78,20,54960,"Hispanic, Dominican",1
Estate Lovango Cay,78,20,55600,"Hispanic, Dominican",0
Estate Maho Bay,78,20,56680,"Hispanic, Dominican",0
Estate Mandal,78,20,56760,"Hispanic, Dominican",0
Estate Molendal and Little Reef Bay,78,20,57330,"Hispanic, Dominican",0
Estate Mount Pleasant and Retreat,78,20,57770,"Hispanic, Dominican",0
Estate New Renobath,78,20,58850,"Hispanic, Dominican",0
Estate Number 1 of Susannaberg,78,20,62540,"Hispanic, Dominican",0
Estate Number 1 of Trunk Bay,78,20,62560,"Hispanic, Dominican",0
Estate Parcel of Concordia,78,20,63400,"Hispanic, Dominican",0
Estate Parcel of Gift and Regenback,78,20,63500,"Hispanic, Dominican",2
Estate Pastory,78,20,63600,"Hispanic, Dominican",36
Estate Peter Bay,78,20,64030,"Hispanic, Dominican",0
Estate Reef Bay,78,20,65610,"Hispanic, Dominican",0
Estate Rendezvous and Ditlef,78,20,65650,"Hispanic, Dominican",0
Estate Rustenberg and Adventure,78,20,66765,"Hispanic, Dominican",0
Estate St. Quaco and Zimmerman,78,20,68200,"Hispanic, Dominican",0
Estate San Soucci,78,20,68650,"Hispanic, Dominican",3
Estate Sieben,78,20,70230,"Hispanic, Dominican",0
Estate Susannaberg,78,20,77650,"Hispanic, Dominican",3
Estate Zootenvaal,78,20,86100,"Hispanic, Dominican",0
Estate Adelphi,78,30,30,"Hispanic, Dominican",0
Estate Agnes Fancy,78,30,80,"Hispanic, Dominican",19
Estate Annas Fancy,78,30,3670,"Hispanic, Dominican",56
Estate Annas Retreat,78,30,5520,"Hispanic, Dominican",237
Estate Bakkero,78,30,5560,"Hispanic, Dominican",8
Estate Bolongo,78,30,7950,"Hispanic, Dominican",17
Estate Bonne Esperance,78,30,8060,"Hispanic, Dominican",4
Estate Bonne Resolution,78,30,8100,"Hispanic, Dominican",2
Estate Bordeaux,78,30,8400,"Hispanic, Dominican",2
Estate Bovoni,78,30,8500,"Hispanic, Dominican",212
Estate Canaan and Sherpenjewel,78,30,11650,"Hispanic, Dominican",1
Estate Caret Bay,78,30,12400,"Hispanic, Dominican",2
Estate Charlotte Amalie,78,30,17300,"Hispanic, Dominican",39
Estate Contant,78,30,26300,"Hispanic, Dominican",639
Estate Crown and Hawk,78,30,27850,"Hispanic, Dominican",4
Estate Demarara,78,30,29100,"Hispanic, Dominican",589
Estate Donoe,78,30,30550,"Hispanic, Dominican",0
Estate Dorothea,78,30,30650,"Hispanic, Dominican",1
Estate Eastern Water Island,78,30,34700,"Hispanic, Dominican",0
Estate Elizabeth,78,30,34800,"Hispanic, Dominican",2
Estate Fortuna,78,30,35890,"Hispanic, Dominican",19
Estate Fortuna Hill,78,30,35900,"Hispanic, Dominican",0
Estate Frenchman Bay,78,30,40300,"Hispanic, Dominican",36
Estate Frydendal,78,30,42450,"Hispanic, Dominican",66
Estate Frydenhoj,78,30,42500,"Hispanic, Dominican",41
Estate Great St. James Island,78,30,45550,"Hispanic, Dominican",1
Estate Hassel Island,78,30,47100,"Hispanic, Dominican",0
Estate Herleins Kob,78,30,47300,"Hispanic, Dominican",0
Estate Hoffman,78,30,47950,"Hispanic, Dominican",0
Estate Honduras,78,30,48060,"Hispanic, Dominican",108
Estate Hope,78,30,48120,"Hispanic, Dominican",6
Estate Hospital Ground,78,30,48160,"Hispanic, Dominican",8
Estate Hull,78,30,48180,"Hispanic, Dominican",1
Estate Inner Brass Island,78,30,48500,"Hispanic, Dominican",0
Estate John Brewers Bay,78,30,49750,"Hispanic, Dominican",1
Estate Kings Quarter,78,30,50575,"Hispanic, Dominican",478
Estate Langmath Mariendal,78,30,53810,"Hispanic, Dominican",51
Estate Lerkenlund,78,30,54650,"Hispanic, Dominican",10
Estate Lilliendal and Marienhoj,78,30,54825,"Hispanic, Dominican",9
Estate Lindbergh Bay,78,30,54875,"Hispanic, Dominican",122
Estate Little St. James Island,78,30,54990,"Hispanic, Dominican",0
Estate Little St. Thomas,78,30,54995,"Hispanic, Dominican",1
Estate Lovenlund,78,30,55800,"Hispanic, Dominican",26
Estate Lower John Dunko,78,30,55850,"Hispanic, Dominican",37
Estate Mafolie,78,30,56620,"Hispanic, Dominican",4
Estate Magens Bay,78,30,56630,"Hispanic, Dominican",0
Estate Mandal,78,30,56840,"Hispanic, Dominican",26
Estate Misgunst,78,30,57320,"Hispanic, Dominican",1
Estate Nadir,78,30,58150,"Hispanic, Dominican",80
Estate Nazareth,78,30,58400,"Hispanic, Dominican",40
Estate Neltjeberg,78,30,58750,"Hispanic, Dominican",3
Estate New Herrnhut,78,30,58825,"Hispanic, Dominican",1
Estate Nisky,78,30,59200,"Hispanic, Dominican",3
Estate Outer Brass Island,78,30,62800,"Hispanic, Dominican",0
Estate Pearl,78,30,63950,"Hispanic, Dominican",7
Estate Perseverance,78,30,64010,"Hispanic, Dominican",0
Estate Peterborg,78,30,64050,"Hispanic, Dominican",5
Estate Queens Quarter,78,30,65070,"Hispanic, Dominican",95
Estate Raphune,78,30,65125,"Hispanic, Dominican",0
Estate Ross,78,30,66200,"Hispanic, Dominican",8
Estate St. Joseph and Rosendal,78,30,67660,"Hispanic, Dominican",18
Estate St. Peter,78,30,67800,"Hispanic, Dominican",3
Estate Santa Maria,78,30,68800,"Hispanic, Dominican",1
