Geographic Area,StateCode,CountyCode,Estate Code,Category,Population
Estate Montpellier West,78,10,57560,Total,53
Estate Morning Star North,78,10,57650,Total,19
Estate Morning Star South,78,10,57660,Total,228
Estate Mountain,78,10,57670,Total,35
Estate Mount Eagle,78,10,57680,Total,0
Estate Mount Fancy,78,10,57690,Total,0
Estate Mount Pleasant East 1,78,10,57790,Total,68
Estate Mount Pleasant East 2,78,10,57800,Total,11
Estate Mount Pleasant West,78,10,57820,Total,1304
Estate Mount Retreat,78,10,57840,Total,0
Estate Mount Stewart,78,10,57860,Total,0
Estate Mount Victory,78,10,57880,Total,15
Estate Mount Washington and Washington Hill,78,10,57900,Total,12
Estate Mount Welcome,78,10,57950,Total,236
Estate Nicholas,78,10,59000,Total,7
Estate North Grapetree Bay,78,10,59550,Total,18
Estate North Hall,78,10,59600,Total,8
Estate Northside,78,10,61325,Total,34
Estate North Slob,78,10,61450,Total,17
Estate North Star,78,10,61700,Total,0
Estate Orange Grove East,78,10,62730,Total,356
Estate Orange Grove West,78,10,62760,Total,18
Estate Oxford,78,10,63050,Total,5
Estate Paradise,78,10,63175,Total,287
Estate Parasol,78,10,63300,Total,0
Estate Pearl,78,10,63900,Total,50
Estate Peters Farm,78,10,64070,Total,37
Estate Peters Rest,78,10,64150,Total,745
Estate Petronella,78,10,64300,Total,0
Estate Pleasant Valley East,78,10,64530,Total,21
Estate Pleasant Valley West,78,10,64560,Total,4
Estate Plessen 1,78,10,64630,Total,14
Estate Plessen 2,78,10,64660,Total,296
Estate Profit,78,10,64820,Total,1035
Estate Prospect Hill,78,10,64870,Total,0
Estate Prosperity East,78,10,64930,Total,10
Estate Prosperity West,78,10,64960,Total,99
Estate Punch,78,10,65020,Total,0
Estate Rattan,78,10,65150,Total,442
Estate Recovery Hill,78,10,65525,Total,0
Estate Retreat,78,10,65750,Total,388
Estate Richmond,78,10,65830,Total,820
Estate River,78,10,65860,Total,58
Estate Roberts Hill,78,10,66030,Total,0
Estate Rose Hill,78,10,66060,Total,0
Estate Ruby,78,10,66750,Total,460
Estate Rust Up Twist,78,10,66780,Total,49
Estate St. George,78,10,67000,Total,1069
Estate St. Georges Hill,78,10,67100,Total,24
Estate St. John,78,10,67630,Total,685
Estate St. Peters,78,10,68000,Total,297
Estate Sallys Fancy,78,10,68530,Total,93
Estate Salt River,78,10,68560,Total,102
