Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Virgin Islands (U.S.),VIR,"Population, total",SP.POP.TOTL,108639,108386,108208,108085,107950,107863,107700,107423,107091,106707,106267,105784,105275,104737,104170,..
Virgin Islands (U.S.),VIR,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,52.1956299361355,52.1910624925121,52.1753968473579,52.154272517321,52.135557448069,52.1258629648875,52.1274319156657,52.138738032585,52.1593876042261,52.1840698001689,52.2109003402831,52.2401265012613,52.2708007610149,52.302997193075,52.3340991262428,..
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,
Last Updated: 11/12/2015,,,,,,,,,,,,,,,,,,,
